UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Type of service,Type of organisation,Number/Value Marker,Unit,Number/Value
10007799,Newcastle University,England,North East,2016/17,Contract research,Non-commercial organisations,Number,£000s,767.0
10007799,Newcastle University,England,North East,2016/17,Contract research,Total,Number,£000s,1049.0
10007799,Newcastle University,England,North East,2016/17,Contract research,SME's,Value,£000s,1158.0
10007799,Newcastle University,England,North East,2016/17,Contract research,Other (non-SME) commercial businesses,Value,£000s,5664.0
10007799,Newcastle University,England,North East,2016/17,Contract research,Non-commercial organisations,Value,£000s,22801.0
10007799,Newcastle University,England,North East,2016/17,Contract research,Total,Value,£000s,29623.0
10007799,Newcastle University,England,North East,2016/17,Facilities and equipment related,SME's,Number,£000s,43.0
10007799,Newcastle University,England,North East,2016/17,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,52.0
10007799,Newcastle University,England,North East,2016/17,Facilities and equipment related,Non-commercial organisations,Number,£000s,127.0
10007799,Newcastle University,England,North East,2016/17,Facilities and equipment related,Total,Number,£000s,222.0
10007799,Newcastle University,England,North East,2016/17,Facilities and equipment related,SME's,Value,£000s,547.0
10007799,Newcastle University,England,North East,2016/17,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,142.0
10007799,Newcastle University,England,North East,2016/17,Facilities and equipment related,Non-commercial organisations,Value,£000s,1120.0
10007799,Newcastle University,England,North East,2016/17,Facilities and equipment related,Total,Value,£000s,1809.0
10007799,Newcastle University,England,North East,2017/18,Consultancy,SME's,Number,£000s,58.0
10007799,Newcastle University,England,North East,2017/18,Consultancy,Other (non-SME) commercial businesses,Number,£000s,281.0
10007799,Newcastle University,England,North East,2017/18,Consultancy,Non-commercial organisations,Number,£000s,184.0
10007799,Newcastle University,England,North East,2017/18,Consultancy,Total,Number,£000s,523.0
10007799,Newcastle University,England,North East,2017/18,Consultancy,SME's,Value,£000s,704.0
10007799,Newcastle University,England,North East,2017/18,Consultancy,Other (non-SME) commercial businesses,Value,£000s,2140.0
10007799,Newcastle University,England,North East,2017/18,Consultancy,Non-commercial organisations,Value,£000s,2623.0
10007799,Newcastle University,England,North East,2017/18,Consultancy,Total,Value,£000s,5467.0
10007799,Newcastle University,England,North East,2017/18,Contract research,SME's,Number,£000s,45.0
10007799,Newcastle University,England,North East,2017/18,Contract research,Other (non-SME) commercial businesses,Number,£000s,200.0
10007799,Newcastle University,England,North East,2017/18,Contract research,Non-commercial organisations,Number,£000s,717.0
10007799,Newcastle University,England,North East,2017/18,Contract research,Total,Number,£000s,962.0
10007799,Newcastle University,England,North East,2017/18,Contract research,SME's,Value,£000s,627.0
10007799,Newcastle University,England,North East,2017/18,Contract research,Other (non-SME) commercial businesses,Value,£000s,5969.0
10007799,Newcastle University,England,North East,2017/18,Contract research,Non-commercial organisations,Value,£000s,21497.0
10007799,Newcastle University,England,North East,2017/18,Contract research,Total,Value,£000s,28093.0
10007799,Newcastle University,England,North East,2017/18,Facilities and equipment related,SME's,Number,£000s,33.0
10007799,Newcastle University,England,North East,2017/18,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,41.0
10007799,Newcastle University,England,North East,2017/18,Facilities and equipment related,Non-commercial organisations,Number,£000s,122.0
10007799,Newcastle University,England,North East,2017/18,Facilities and equipment related,Total,Number,£000s,196.0
10007799,Newcastle University,England,North East,2017/18,Facilities and equipment related,SME's,Value,£000s,504.0
10007799,Newcastle University,England,North East,2017/18,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,372.0
10007799,Newcastle University,England,North East,2017/18,Facilities and equipment related,Non-commercial organisations,Value,£000s,1297.0
10007799,Newcastle University,England,North East,2017/18,Facilities and equipment related,Total,Value,£000s,2173.0
10007799,Newcastle University,England,North East,2018/19,Consultancy,SME's,Number,£000s,39.0
10007799,Newcastle University,England,North East,2018/19,Consultancy,Other (non-SME) commercial businesses,Number,£000s,286.0
10007799,Newcastle University,England,North East,2018/19,Consultancy,Non-commercial organisations,Number,£000s,154.0
10007799,Newcastle University,England,North East,2018/19,Consultancy,Total,Number,£000s,479.0
10007799,Newcastle University,England,North East,2018/19,Consultancy,SME's,Value,£000s,572.0
10007799,Newcastle University,England,North East,2018/19,Consultancy,Other (non-SME) commercial businesses,Value,£000s,2969.0
10007799,Newcastle University,England,North East,2018/19,Consultancy,Non-commercial organisations,Value,£000s,2468.0
10007799,Newcastle University,England,North East,2018/19,Consultancy,Total,Value,£000s,6009.0
10007799,Newcastle University,England,North East,2018/19,Contract research,SME's,Number,£000s,42.0
10007799,Newcastle University,England,North East,2018/19,Contract research,Other (non-SME) commercial businesses,Number,£000s,251.0
10007799,Newcastle University,England,North East,2018/19,Contract research,Non-commercial organisations,Number,£000s,780.0
10007799,Newcastle University,England,North East,2018/19,Contract research,Total,Number,£000s,1073.0
10007799,Newcastle University,England,North East,2018/19,Contract research,SME's,Value,£000s,358.0
10007799,Newcastle University,England,North East,2018/19,Contract research,Other (non-SME) commercial businesses,Value,£000s,5783.0
10007799,Newcastle University,England,North East,2018/19,Contract research,Non-commercial organisations,Value,£000s,19431.0
10007799,Newcastle University,England,North East,2018/19,Contract research,Total,Value,£000s,25572.0
10007799,Newcastle University,England,North East,2018/19,Facilities and equipment related,SME's,Number,£000s,21.0
10007799,Newcastle University,England,North East,2018/19,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,40.0
10007799,Newcastle University,England,North East,2018/19,Facilities and equipment related,Non-commercial organisations,Number,£000s,182.0
10007799,Newcastle University,England,North East,2018/19,Facilities and equipment related,Total,Number,£000s,243.0
10007799,Newcastle University,England,North East,2018/19,Facilities and equipment related,SME's,Value,£000s,319.0
10007799,Newcastle University,England,North East,2018/19,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,496.0
10007799,Newcastle University,England,North East,2018/19,Facilities and equipment related,Non-commercial organisations,Value,£000s,1309.0
10007799,Newcastle University,England,North East,2018/19,Facilities and equipment related,Total,Value,£000s,2124.0
10007799,Newcastle University,England,North East,2019/20,Consultancy,SME's,Number,£000s,33.0
10007799,Newcastle University,England,North East,2019/20,Consultancy,Other (non-SME) commercial businesses,Number,£000s,279.0
10007799,Newcastle University,England,North East,2019/20,Consultancy,Non-commercial organisations,Number,£000s,141.0
10007799,Newcastle University,England,North East,2019/20,Consultancy,Total,Number,£000s,453.0
10007799,Newcastle University,England,North East,2019/20,Consultancy,SME's,Value,£000s,602.0
10007799,Newcastle University,England,North East,2019/20,Consultancy,Other (non-SME) commercial businesses,Value,£000s,2945.0
10007799,Newcastle University,England,North East,2019/20,Consultancy,Non-commercial organisations,Value,£000s,2167.0
10007799,Newcastle University,England,North East,2019/20,Consultancy,Total,Value,£000s,5714.0
10007799,Newcastle University,England,North East,2019/20,Contract research,SME's,Number,£000s,30.0
10007799,Newcastle University,England,North East,2019/20,Contract research,Other (non-SME) commercial businesses,Number,£000s,229.0
10007799,Newcastle University,England,North East,2019/20,Contract research,Non-commercial organisations,Number,£000s,679.0
10007799,Newcastle University,England,North East,2019/20,Contract research,Total,Number,£000s,938.0
10007799,Newcastle University,England,North East,2019/20,Contract research,SME's,Value,£000s,90.0
10007799,Newcastle University,England,North East,2019/20,Contract research,Other (non-SME) commercial businesses,Value,£000s,4341.0
10007799,Newcastle University,England,North East,2019/20,Contract research,Non-commercial organisations,Value,£000s,17586.0
10007799,Newcastle University,England,North East,2019/20,Contract research,Total,Value,£000s,22017.0
10007799,Newcastle University,England,North East,2019/20,Facilities and equipment related,SME's,Number,£000s,15.0
10007799,Newcastle University,England,North East,2019/20,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,28.0
10007799,Newcastle University,England,North East,2019/20,Facilities and equipment related,Non-commercial organisations,Number,£000s,90.0
10007799,Newcastle University,England,North East,2019/20,Facilities and equipment related,Total,Number,£000s,133.0
10007799,Newcastle University,England,North East,2019/20,Facilities and equipment related,SME's,Value,£000s,191.0
10007799,Newcastle University,England,North East,2019/20,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,52.0
10007799,Newcastle University,England,North East,2019/20,Facilities and equipment related,Non-commercial organisations,Value,£000s,1158.0
10007799,Newcastle University,England,North East,2019/20,Facilities and equipment related,Total,Value,£000s,1401.0
10007799,Newcastle University,England,North East,2020/21,Consultancy,SME's,Number,£000s,72.0
10007799,Newcastle University,England,North East,2020/21,Consultancy,Other (non-SME) commercial businesses,Number,£000s,237.0
10007799,Newcastle University,England,North East,2020/21,Consultancy,Non-commercial organisations,Number,£000s,83.0
10007799,Newcastle University,England,North East,2020/21,Consultancy,Total,Number,£000s,392.0
10007799,Newcastle University,England,North East,2020/21,Consultancy,SME's,Value,£000s,551.0
10007799,Newcastle University,England,North East,2020/21,Consultancy,Other (non-SME) commercial businesses,Value,£000s,2212.0
10007799,Newcastle University,England,North East,2020/21,Consultancy,Non-commercial organisations,Value,£000s,2828.0
10007799,Newcastle University,England,North East,2020/21,Consultancy,Total,Value,£000s,5591.0
10007799,Newcastle University,England,North East,2020/21,Contract research,SME's,Number,£000s,27.0
10007799,Newcastle University,England,North East,2020/21,Contract research,Other (non-SME) commercial businesses,Number,£000s,156.0
10007799,Newcastle University,England,North East,2020/21,Contract research,Non-commercial organisations,Number,£000s,478.0
10007799,Newcastle University,England,North East,2020/21,Contract research,Total,Number,£000s,661.0
10007799,Newcastle University,England,North East,2020/21,Contract research,SME's,Value,£000s,308.0
10007799,Newcastle University,England,North East,2020/21,Contract research,Other (non-SME) commercial businesses,Value,£000s,4379.0
10007799,Newcastle University,England,North East,2020/21,Contract research,Non-commercial organisations,Value,£000s,17754.0
10007799,Newcastle University,England,North East,2020/21,Contract research,Total,Value,£000s,22441.0
10007799,Newcastle University,England,North East,2020/21,Facilities and equipment related,SME's,Number,£000s,33.0
10007799,Newcastle University,England,North East,2020/21,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,85.0
10007799,Newcastle University,England,North East,2020/21,Facilities and equipment related,Non-commercial organisations,Number,£000s,109.0
10007799,Newcastle University,England,North East,2020/21,Facilities and equipment related,Total,Number,£000s,227.0
10007799,Newcastle University,England,North East,2020/21,Facilities and equipment related,SME's,Value,£000s,353.0
10007799,Newcastle University,England,North East,2020/21,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,722.0
10007799,Newcastle University,England,North East,2020/21,Facilities and equipment related,Non-commercial organisations,Value,£000s,1373.0
10007799,Newcastle University,England,North East,2020/21,Facilities and equipment related,Total,Value,£000s,2448.0
10007799,Newcastle University,England,North East,2021/22,Consultancy,SME's,Number,£000s,111.0
10007799,Newcastle University,England,North East,2021/22,Consultancy,Other (non-SME) commercial businesses,Number,£000s,167.0
10007799,Newcastle University,England,North East,2021/22,Consultancy,Non-commercial organisations,Number,£000s,112.0
10007799,Newcastle University,England,North East,2021/22,Consultancy,Total,Number,£000s,390.0
10007799,Newcastle University,England,North East,2021/22,Consultancy,SME's,Value,£000s,1083.0
10007799,Newcastle University,England,North East,2021/22,Consultancy,Other (non-SME) commercial businesses,Value,£000s,2149.0
10007799,Newcastle University,England,North East,2021/22,Consultancy,Non-commercial organisations,Value,£000s,3273.0
10007799,Newcastle University,England,North East,2021/22,Consultancy,Total,Value,£000s,6505.0
10007799,Newcastle University,England,North East,2021/22,Contract research,SME's,Number,£000s,32.0
10007799,Newcastle University,England,North East,2021/22,Contract research,Other (non-SME) commercial businesses,Number,£000s,191.0
10007799,Newcastle University,England,North East,2021/22,Contract research,Non-commercial organisations,Number,£000s,588.0
10007799,Newcastle University,England,North East,2021/22,Contract research,Total,Number,£000s,811.0
10007799,Newcastle University,England,North East,2021/22,Contract research,SME's,Value,£000s,355.0
10007799,Newcastle University,England,North East,2021/22,Contract research,Other (non-SME) commercial businesses,Value,£000s,4699.0
10007799,Newcastle University,England,North East,2021/22,Contract research,Non-commercial organisations,Value,£000s,19362.0
10007799,Newcastle University,England,North East,2021/22,Contract research,Total,Value,£000s,24416.0
10007799,Newcastle University,England,North East,2021/22,Facilities and equipment related,SME's,Number,£000s,64.0
10007799,Newcastle University,England,North East,2021/22,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,43.0
10007799,Newcastle University,England,North East,2021/22,Facilities and equipment related,Non-commercial organisations,Number,£000s,68.0
10007799,Newcastle University,England,North East,2021/22,Facilities and equipment related,Total,Number,£000s,175.0
10007799,Newcastle University,England,North East,2021/22,Facilities and equipment related,SME's,Value,£000s,702.0
10007799,Newcastle University,England,North East,2021/22,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,502.0
10007799,Newcastle University,England,North East,2021/22,Facilities and equipment related,Non-commercial organisations,Value,£000s,1302.0
10007799,Newcastle University,England,North East,2021/22,Facilities and equipment related,Total,Value,£000s,2506.0
10007799,Newcastle University,England,North East,2022/23,Consultancy,SME's,Number,£000s,133.0
10007799,Newcastle University,England,North East,2022/23,Consultancy,Other (non-SME) commercial businesses,Number,£000s,130.0
10007799,Newcastle University,England,North East,2022/23,Consultancy,Non-commercial organisations,Number,£000s,106.0
10007799,Newcastle University,England,North East,2022/23,Consultancy,Total,Number,£000s,369.0
10007799,Newcastle University,England,North East,2022/23,Consultancy,SME's,Value,£000s,1253.0
10007799,Newcastle University,England,North East,2022/23,Consultancy,Other (non-SME) commercial businesses,Value,£000s,2220.0
10007799,Newcastle University,England,North East,2022/23,Consultancy,Non-commercial organisations,Value,£000s,3654.0
10007799,Newcastle University,England,North East,2022/23,Consultancy,Total,Value,£000s,7127.0
10007799,Newcastle University,England,North East,2022/23,Contract research,SME's,Number,£000s,39.0
10007799,Newcastle University,England,North East,2022/23,Contract research,Other (non-SME) commercial businesses,Number,£000s,226.0
10007799,Newcastle University,England,North East,2022/23,Contract research,Non-commercial organisations,Number,£000s,654.0
10007799,Newcastle University,England,North East,2022/23,Contract research,Total,Number,£000s,919.0
10007799,Newcastle University,England,North East,2022/23,Contract research,SME's,Value,£000s,790.0
10007799,Newcastle University,England,North East,2022/23,Contract research,Other (non-SME) commercial businesses,Value,£000s,5894.0
10007799,Newcastle University,England,North East,2022/23,Contract research,Non-commercial organisations,Value,£000s,21740.0
10007799,Newcastle University,England,North East,2022/23,Contract research,Total,Value,£000s,28424.0
10007799,Newcastle University,England,North East,2022/23,Facilities and equipment related,SME's,Number,£000s,82.0
10007799,Newcastle University,England,North East,2022/23,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,36.0
10007799,Newcastle University,England,North East,2022/23,Facilities and equipment related,Non-commercial organisations,Number,£000s,76.0
10007799,Newcastle University,England,North East,2022/23,Facilities and equipment related,Total,Number,£000s,194.0
10007799,Newcastle University,England,North East,2022/23,Facilities and equipment related,SME's,Value,£000s,877.0
10007799,Newcastle University,England,North East,2022/23,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,615.0
10007799,Newcastle University,England,North East,2022/23,Facilities and equipment related,Non-commercial organisations,Value,£000s,1248.0
10007799,Newcastle University,England,North East,2022/23,Facilities and equipment related,Total,Value,£000s,2740.0
10007799,Newcastle University,England,North East,2023/24,Consultancy,SME's,Number,£000s,133.0
10007799,Newcastle University,England,North East,2023/24,Consultancy,Other (non-SME) commercial businesses,Number,£000s,160.0
10007799,Newcastle University,England,North East,2023/24,Consultancy,Non-commercial organisations,Number,£000s,89.0
10007799,Newcastle University,England,North East,2023/24,Consultancy,Total,Number,£000s,382.0
10007799,Newcastle University,England,North East,2023/24,Consultancy,SME's,Value,£000s,1871.0
10007799,Newcastle University,England,North East,2023/24,Consultancy,Other (non-SME) commercial businesses,Value,£000s,2241.0
10007799,Newcastle University,England,North East,2023/24,Consultancy,Non-commercial organisations,Value,£000s,1692.0
10007799,Newcastle University,England,North East,2023/24,Consultancy,Total,Value,£000s,5804.0
10007799,Newcastle University,England,North East,2023/24,Contract research,SME's,Number,£000s,51.0
10007799,Newcastle University,England,North East,2023/24,Contract research,Other (non-SME) commercial businesses,Number,£000s,183.0
10007799,Newcastle University,England,North East,2023/24,Contract research,Non-commercial organisations,Number,£000s,642.0
10007799,Newcastle University,England,North East,2023/24,Contract research,Total,Number,£000s,876.0
10007799,Newcastle University,England,North East,2023/24,Contract research,SME's,Value,£000s,487.0
10007799,Newcastle University,England,North East,2023/24,Contract research,Other (non-SME) commercial businesses,Value,£000s,4983.0
10007799,Newcastle University,England,North East,2023/24,Contract research,Non-commercial organisations,Value,£000s,22872.0
10007799,Newcastle University,England,North East,2023/24,Contract research,Total,Value,£000s,28342.0
10007799,Newcastle University,England,North East,2023/24,Facilities and equipment related,SME's,Number,£000s,84.0
10007799,Newcastle University,England,North East,2023/24,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,61.0
10007799,Newcastle University,England,North East,2023/24,Facilities and equipment related,Non-commercial organisations,Number,£000s,55.0
10007799,Newcastle University,England,North East,2023/24,Facilities and equipment related,Total,Number,£000s,200.0
10007799,Newcastle University,England,North East,2023/24,Facilities and equipment related,SME's,Value,£000s,984.0
10007799,Newcastle University,England,North East,2023/24,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,714.0
10007799,Newcastle University,England,North East,2023/24,Facilities and equipment related,Non-commercial organisations,Value,£000s,1142.0
10007799,Newcastle University,England,North East,2023/24,Facilities and equipment related,Total,Value,£000s,2840.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Consultancy,SME's,Number,£000s,54.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Consultancy,Other (non-SME) commercial businesses,Number,£000s,83.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Consultancy,Non-commercial organisations,Number,£000s,76.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Consultancy,Total,Number,£000s,213.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Consultancy,SME's,Value,£000s,103.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Consultancy,Other (non-SME) commercial businesses,Value,£000s,292.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Consultancy,Non-commercial organisations,Value,£000s,261.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Consultancy,Total,Value,£000s,656.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Contract research,SME's,Number,£000s,18.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Contract research,Other (non-SME) commercial businesses,Number,£000s,45.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Contract research,Non-commercial organisations,Number,£000s,54.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Contract research,Total,Number,£000s,117.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Contract research,SME's,Value,£000s,73.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Contract research,Other (non-SME) commercial businesses,Value,£000s,582.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Contract research,Non-commercial organisations,Value,£000s,349.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Contract research,Total,Value,£000s,1004.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Facilities and equipment related,SME's,Number,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,3.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Facilities and equipment related,Non-commercial organisations,Number,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Facilities and equipment related,Total,Number,£000s,3.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Facilities and equipment related,SME's,Value,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,5.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Facilities and equipment related,Non-commercial organisations,Value,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Facilities and equipment related,Total,Value,£000s,5.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Consultancy,SME's,Number,£000s,56.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Consultancy,Other (non-SME) commercial businesses,Number,£000s,75.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Consultancy,Non-commercial organisations,Number,£000s,74.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Consultancy,Total,Number,£000s,205.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Consultancy,SME's,Value,£000s,90.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Consultancy,Other (non-SME) commercial businesses,Value,£000s,406.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Consultancy,Non-commercial organisations,Value,£000s,173.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Consultancy,Total,Value,£000s,669.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Contract research,SME's,Number,£000s,12.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Contract research,Other (non-SME) commercial businesses,Number,£000s,42.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Contract research,Non-commercial organisations,Number,£000s,59.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Contract research,Total,Number,£000s,113.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Contract research,SME's,Value,£000s,56.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Contract research,Other (non-SME) commercial businesses,Value,£000s,693.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Contract research,Non-commercial organisations,Value,£000s,487.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Contract research,Total,Value,£000s,1236.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Facilities and equipment related,SME's,Number,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,2.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Facilities and equipment related,Non-commercial organisations,Number,£000s,1.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Facilities and equipment related,Total,Number,£000s,3.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Facilities and equipment related,SME's,Value,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,2.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Facilities and equipment related,Non-commercial organisations,Value,£000s,2.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Facilities and equipment related,Total,Value,£000s,4.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Consultancy,SME's,Number,£000s,61.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Consultancy,Other (non-SME) commercial businesses,Number,£000s,49.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Consultancy,Non-commercial organisations,Number,£000s,106.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Consultancy,Total,Number,£000s,216.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Consultancy,SME's,Value,£000s,68.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Consultancy,Other (non-SME) commercial businesses,Value,£000s,273.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Consultancy,Non-commercial organisations,Value,£000s,338.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Consultancy,Total,Value,£000s,679.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Contract research,SME's,Number,£000s,9.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Contract research,Other (non-SME) commercial businesses,Number,£000s,36.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Contract research,Non-commercial organisations,Number,£000s,57.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Contract research,Total,Number,£000s,102.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Contract research,SME's,Value,£000s,79.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Contract research,Other (non-SME) commercial businesses,Value,£000s,734.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Contract research,Non-commercial organisations,Value,£000s,589.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Contract research,Total,Value,£000s,1402.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Facilities and equipment related,SME's,Number,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,1.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Facilities and equipment related,Non-commercial organisations,Number,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Facilities and equipment related,Total,Number,£000s,1.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Facilities and equipment related,SME's,Value,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,1.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Facilities and equipment related,Non-commercial organisations,Value,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Facilities and equipment related,Total,Value,£000s,1.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Consultancy,SME's,Number,£000s,68.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Consultancy,Other (non-SME) commercial businesses,Number,£000s,39.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Consultancy,Non-commercial organisations,Number,£000s,98.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Consultancy,Total,Number,£000s,205.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Consultancy,SME's,Value,£000s,141.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Consultancy,Other (non-SME) commercial businesses,Value,£000s,200.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Consultancy,Non-commercial organisations,Value,£000s,281.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Consultancy,Total,Value,£000s,622.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Contract research,SME's,Number,£000s,14.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Contract research,Other (non-SME) commercial businesses,Number,£000s,32.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Contract research,Non-commercial organisations,Number,£000s,54.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Contract research,Total,Number,£000s,100.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Contract research,SME's,Value,£000s,266.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Contract research,Other (non-SME) commercial businesses,Value,£000s,493.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Contract research,Non-commercial organisations,Value,£000s,404.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Contract research,Total,Value,£000s,1163.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Facilities and equipment related,SME's,Number,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,4.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Facilities and equipment related,Non-commercial organisations,Number,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Facilities and equipment related,Total,Number,£000s,4.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Facilities and equipment related,SME's,Value,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,7.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Facilities and equipment related,Non-commercial organisations,Value,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Facilities and equipment related,Total,Value,£000s,7.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Consultancy,SME's,Number,£000s,50.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Consultancy,Other (non-SME) commercial businesses,Number,£000s,20.0
